Name,Screener,LTP,Change(%),Open,Volume,Market Cap (Cr.),PE Ratio,Industry PE,52W High,52W Low,1M Returns,3M Returns,1 Yr Returns,3 Yr Returns,5 Yr Returns,PB Ratio,Dividend,ROE,ROCE,EPS,50 DMA,200 DMA,RSI,Margin Funding,Margin Pledge
"Reliance Industries","https://scanx.trade/company/reliance-industries-ltd","1,437.10","3.36%","1,473.90","2,08,12,789","19,44,751.64","19.24","10.07","1,611.80","1,114.85","-9.75%","-3.32%","15.35%","36.05%","64.39%","2.14","0.40%","8.54%","8.71%","101.61","1,505.82","1,442.99","37.96","78.00%","91.00%"
"HDFC Bank","https://scanx.trade/company/hdfc-bank-ltd","948.20","2.17%","983.75","4,39,84,271","14,58,765.61","18.43","9.04","1,020.50","830.55","-5.33%","-3.96%","13.02%","18.28%","21.52%","2.55","1.18%","13.93%","6.38%","89.49","971.32","977.53","39.01","78.00%","91.00%"
"Tata Consultancy Services","https://scanx.trade/company/tcs-tata-consultancy-services-ltd","3,225.80","1.77%","3,350.00","34,65,363","11,67,122.67","23.91","31.91","4,150.00","2,866.60","-0.77%","5.49%","-20.72%","-6.78%","0.70%","10.84","3.98%","50.48%","62.02%","131.54","3,204.27","3,215.72","48.04","78.00%","91.00%"
"Bharti Airtel","https://scanx.trade/company/bharti-airtel-ltd","1,997.60","1.64%","2,050.00","52,93,866","11,39,052.56","25.08","-4.56","2,174.50","1,559.50","-5.16%","-2.77%","20.89%","156.84%","239.55%","9.52","0.79%","8.11%","18.01%","21.42","2,068.67","1,963.11","33.87","78.00%","91.00%"
"ICICI Bank","https://scanx.trade/company/icici-bank-ltd","1,389.30","2.70%","1,412.00","2,12,95,118","9,93,376.14","17.09","9.04","1,500.00","1,200.10","2.50%","3.27%","10.88%","61.94%","125.04%","2.82","0.81%","16.67%","6.13%","64.38","1,373.52","1,404.93","45.28","78.00%","91.00%"
"State Bank of India","https://scanx.trade/company/state-bank-of-india-ltd","1,063.50","3.38%","1,087.00","1,20,73,853","9,81,676.18","11.32","9.57","1,083.60","680.00","6.46%","13.50%","39.76%","101.38%","219.27%","1.75","1.49%","15.83%","5.57%","81.94","995.12","875.44","52.02","78.00%","91.00%"
"Infosys","https://scanx.trade/company/infosys-ltd","1,658.00","1.76%","1,727.20","68,21,863","6,72,256.73","23.59","31.91","1,924.00","1,307.00","1.07%","11.85%","-11.02%","4.69%","30.42%","8.84","2.70%","29.67%","35.85%","64.20","1,618.89","1,547.17","47.76","78.00%","90.68%"
"Bajaj Finance","https://scanx.trade/company/bajaj-finance-ltd","964.00","6.67%","960.00","1,34,19,063","5,99,847.25","30.31","-2.88","1,102.50","792.11","-2.67%","-7.56%","14.41%","68.60%","86.35%","5.45","0.62%","18.84%","10.98%","241.14","983.21","958.30","32.12","76.00%","89.87%"
"Hindustan Unilever","https://scanx.trade/company/hindustan-unilever-ltd","2,367.80","0.45%","2,390.00","11,57,681","5,56,336.22","50.66","46.10","2,705.09","2,101.12","0.84%","-2.37%","-1.43%","-8.64%","7.92%","11.36","2.25%","19.99%","23.38%","43.99","2,353.45","2,401.68","48.25","78.00%","91.00%"
"Larsen & Toubro","https://scanx.trade/company/lt-larsen-toubro-ltd","4,038.00","2.98%","4,117.00","32,49,784","5,55,459.56","28.43","9.95","4,195.00","2,965.30","-3.01%","0.18%","22.77%","88.26%","165.62%","5.32","0.87%","15.18%","18.71%","96.60","3,995.10","3,725.46","50.00","76.00%","91.00%"
"Maruti Suzuki","https://scanx.trade/company/maruti-suzuki-ltd","14,771.00","2.69%","15,200.00","5,56,184","4,64,404.04","30.29","36.99","17,370.00","11,059.45","-12.91%","-8.74%","12.41%","66.52%","92.97%","4.53","0.94%","15.75%","19.54%","467.71","16,115.50","14,396.43","26.62","78.00%","91.00%"
"HCL Technologies","https://scanx.trade/company/hcl-technologies-ltd","1,696.20","1.16%","1,780.00","26,04,973","4,60,291.87","27.61","31.91","1,752.50","1,302.75","3.41%","10.04%","0.25%","47.55%","77.68%","6.38","3.58%","23.01%","30.84%","60.53","1,660.29","1,580.86","50.08","76.00%","91.00%"
"Mahindra & Mahindra","https://scanx.trade/company/mahindra-mahindra-ltd","3,526.80","1.84%","3,638.00","47,19,793","4,38,567.75","27.77","36.99","3,839.90","2,425.00","-7.25%","1.14%","11.14%","160.78%","331.76%","5.19","0.71%","15.83%","15.04%","88.80","3,636.60","3,369.00","41.55","76.00%","89.59%"
"Axis Bank","https://scanx.trade/company/axis-bank-ltd","1,354.10","3.25%","1,403.00","86,97,230","4,20,378.79","15.49","9.04","1,384.90","978.05","6.88%","9.84%","36.86%","55.92%","89.60%","1.99","0.08%","16.77%","6.50%","86.46","1,276.73","1,191.57","53.25","78.00%","91.00%"
"Kotak Bank","https://scanx.trade/company/kotak-mahindra-bank-ltd","415.35","1.75%","415.00","3,08,56,657","4,13,086.05","21.60","9.04","460.38","375.44","-5.39%","-1.21%","10.20%","17.88%","11.58%","2.42","0.12%","13.83%","6.51%","93.78","426.30","420.75","35.07","78.00%","91.00%"
"Sun Pharmaceutical","https://scanx.trade/company/sun-pharmaceutical-ltd","1,697.20","4.26%","1,709.90","70,89,902","4,07,215.13","35.68","16.27","1,851.20","1,548.00","-1.78%","0.38%","-2.49%","68.44%","178.48%","5.02","0.98%","14.38%","18.92%","43.95","1,733.34","1,692.62","39.38","78.00%","91.00%"
"ITC","https://scanx.trade/company/itc-ltd","316.65","0.62%","321.20","2,82,51,781","3,96,723.33","11.16","16.53","465.20","302.00","-9.54%","-24.67%","-30.31%","-11.59%","53.40%","5.55","4.55%","27.71%","36.57%","16.36","371.56","404.52","25.61","78.00%","91.00%"
"UltraTech Cement","https://scanx.trade/company/ultratech-cement-ltd","12,582.00","0.37%","12,800.00","2,59,711","3,70,765.33","48.19","29.75","13,097.00","10,047.85","5.74%","5.32%","12.59%","75.54%","105.47%","5.13","0.62%","11.62%","9.06%","243.84","11,904.50","12,021.24","58.50","78.00%","91.00%"
"Titan","https://scanx.trade/company/titan-ltd","4,056.80","2.62%","4,143.00","7,84,866","3,60,157.09","85.05","5.93","4,312.10","2,925.00","0.13%","8.28%","13.31%","75.76%","173.10%","27.43","0.28%","37.22%","36.95%","38.91","3,982.74","3,654.31","40.54","78.00%","91.00%"
"Adani Ports & SEZ","https://scanx.trade/company/adani-ports-sez-ltd","1,530.70","9.09%","1,477.20","1,11,35,122","3,52,667.02","27.00","36.53","1,549.00","1,036.50","2.77%","5.46%","41.10%","231.00%","177.90%","3.83","0.47%","15.69%","13.60%","46.34","1,462.70","1,409.90","47.66","75.01%","80.00%"
"NTPC","https://scanx.trade/company/ntpc-ltd","358.35","2.28%","365.95","93,52,086","3,47,480.03","13.69","20.26","371.45","292.80","1.78%","6.35%","15.13%","114.71%","280.62%","1.77","2.38%","12.31%","9.85%","22.08","333.08","337.02","57.09","76.00%","91.00%"
