Name,Screener,LTP,Change(%),Open,Volume,Market Cap (Cr.),PE Ratio,Industry PE,52W High,52W Low,1M Returns,3M Returns,1 Yr Returns,3 Yr Returns,5 Yr Returns,PB Ratio,Dividend,ROE,ROCE,EPS,50 DMA,200 DMA,RSI,Margin Funding,Margin Pledge
"HDFC Bank","https://scanx.trade/company/hdfc-bank-ltd","949.40","2.30%","983.75","4,37,34,100","14,60,611.76","18.43","9.04","1,020.50","830.55","-5.21%","-3.84%","13.16%","18.43%","21.67%","2.55","1.18%","13.93%","6.38%","89.49","971.32","977.53","39.01","78.00%","91.00%"
"ICICI Bank","https://scanx.trade/company/icici-bank-ltd","1,391.10","2.83%","1,412.00","2,11,21,099","9,94,663.18","17.09","9.04","1,500.00","1,200.10","2.63%","3.40%","11.02%","62.15%","125.33%","2.82","0.81%","16.67%","6.13%","64.38","1,373.52","1,404.93","45.28","78.00%","91.00%"
"State Bank of India","https://scanx.trade/company/state-bank-of-india-ltd","1,065.00","3.53%","1,087.00","1,19,30,126","9,83,060.77","11.32","9.57","1,083.60","680.00","6.61%","13.66%","39.96%","101.67%","219.72%","1.75","1.49%","15.83%","5.57%","81.94","995.12","875.44","52.02","78.00%","91.00%"
"Axis Bank","https://scanx.trade/company/axis-bank-ltd","1,355.20","3.33%","1,403.00","86,23,086","4,20,720.28","15.49","9.04","1,384.90","978.05","6.97%","9.93%","36.97%","56.05%","89.75%","1.99","0.08%","16.77%","6.50%","86.46","1,276.73","1,191.57","53.25","78.00%","91.00%"
"Kotak Bank","https://scanx.trade/company/kotak-mahindra-bank-ltd","416.00","1.91%","415.00","3,06,67,622","4,13,732.51","21.60","9.04","460.38","375.44","-5.24%","-1.06%","10.37%","18.06%","11.75%","2.42","0.12%","13.83%","6.51%","93.78","426.30","420.75","35.07","78.00%","91.00%"
"Bank of Baroda","https://scanx.trade/company/bank-of-baroda-ltd","285.75","2.94%","290.00","1,25,64,462","1,47,771.67","7.31","9.57","313.35","190.70","-6.33%","2.64%","37.39%","85.49%","282.79%","0.87","3.01%","15.25%","5.69%","36.82","294.22","260.65","34.30","76.00%","87.50%"
"Punjab National Bank","https://scanx.trade/company/punjab-national-bank-ltd","124.10","1.70%","126.50","1,44,22,862","1,42,627.43","7.85","9.57","135.15","85.46","-1.00%","0.98%","26.22%","144.29%","242.82%","1.00","2.38%","8.25%","5.75%","10.66","122.56","112.15","46.36","76.00%","87.50%"
"Canara Bank","https://scanx.trade/company/canara-bank-ltd","147.68","0.83%","152.50","3,35,26,726","1,33,955.38","7.21","9.57","160.79","78.60","-4.64%","7.80%","62.98%","159.00%","403.86%","1.20","2.73%","15.87%","6.11%","17.21","150.40","123.70","44.33","76.00%","87.50%"
"Union Bank of India","https://scanx.trade/company/union-bank-of-india-ltd","174.32","1.86%","179.00","93,34,522","1,33,069.01","6.87","9.57","183.34","106.63","11.24%","17.25%","59.71%","137.49%","427.44%","1.04","2.79%","14.05%","6.23%","18.56","160.17","144.50","53.10","73.93%","86.20%"
"AU Small Finance Bank","https://scanx.trade/company/au-small-finance-bank-ltd","982.55","1.80%","985.00","16,25,235","73,389.81","31.12","9.04","1,029.95","478.35","-1.69%","11.93%","61.36%","57.12%","104.55%","3.97","0.10%","38.28%","16.45%","23.05","978.01","814.31","44.29","76.00%","87.50%"
"IDFC First Bank","https://scanx.trade/company/idfc-first-bank-ltd","84.75","4.36%","84.61","2,87,50,847","72,841.71","44.38","9.04","87.00","52.46","-1.36%","3.64%","36.12%","42.20%","77.67%","1.49","0.26%","9.12%","5.55%","3.82","82.82","74.56","40.92","76.00%","87.50%"
"Indusind Bank","https://scanx.trade/company/indusind-bank-ltd","923.30","1.43%","951.30","93,10,241","71,932.08","-34.84","9.04","1,086.55","606.00","2.31%","16.17%","-8.83%","-14.18%","-5.37%","1.10","-","14.20%","5.98%","115.87","873.32","817.01","56.73","70.00%","85.66%"
"Federal Bank","https://scanx.trade/company/federal-bank-ltd","286.60","1.88%","294.00","74,74,000","70,588.02","16.44","9.04","289.60","172.66","7.36%","21.13%","58.73%","115.00%","257.13%","1.91","0.42%","12.70%","6.45%","16.45","264.67","221.22","59.70","76.00%","87.50%"
"Yes Bank","https://scanx.trade/company/yes-bank-ltd","21.35","0.76%","21.99","7,80,20,574","66,991.07","20.97","9.04","24.30","16.02","-4.22%","-6.11%","13.62%","26.71%","29.00%","1.32","-","3.05%","5.95%","0.46","22.09","20.94","40.96","70.00%","87.07%"
